name_in,name_out
fbb,FBB
florbetaben,FBB
neuraceq,FBB
[18f]florbetaben,FBB
f18-florbetaben,FBB
florbetaben(f18),FBB
florbetaben(18f),FBB
18f-florbetaben,FBB
amyvid,FBP
av-45,FBP
av45,FBP
fbp,FBP
florbetapir,FBP
[18f]florbetapir,FBP
f18-florbetapir,FBP
florbetapir(f18),FBP
florbetapir(18f),FBP
18f-florbetapir,FBP
flutemetamol,FLUTE
flute,FLUTE
vizamyl,FLUTE
[18f]flutemetamol,FLUTE
f18-flutemetamol,FLUTE
flutemetamol(f18),FLUTE
flutemetamol(18f),FLUTE
18f-flutemetamol,FLUTE
flut,FLUTE
azd-4694,NAV
azd4694,NAV
flutafuranol,NAV
nav-4694,NAV
nav4694,NAV
nav,NAV
[18f]flutafuranol,NAV
f18-flutafuranol,NAV
flutafuranol(f18),NAV
flutafuranol(18f),NAV
18f-flutafuranol,NAV
pib,PIB
pittsburgh compound b,PIB
pittsburgh compound-b,PIB
[11c]pib,PIB
c11-pib,PIB
pib(c11),PIB
pib(11c),PIB
11c-pib,PIB
